rank,feature,score,p_value
1,team_effectiveness,190.91650732280937,5.1060650644261535e-78
2,team_experience,166.14377243831416,1.4186435058012495e-68
3,complexity_score,154.03056513212786,6.73915966691939e-64
4,duration_months,99.25614713762302,3.026170212258512e-42
5,risk_management_maturity,91.69979464030031,3.428609027197143e-39
6,external_dependencies,76.2190194602705,7.000915109732545e-33
7,team_turnover_rate,71.13880318020914,8.5419662076447e-31
8,budget_usd,43.25128994025422,3.3582283038079473e-19
9,past_similar_projects,42.31195834306182,8.334562493089292e-19
10,team_size,35.13309923742182,8.855631618710575e-16
11,success_rate,30.74851090199588,6.363869740359502e-14
12,stakeholder_count,29.951640700366834,1.386098476001136e-13
13,requirement_stability,23.624630175276653,6.813083334975797e-11
14,documentation_quality,17.846868669446206,2.007510178406857e-08
15,resource_availability,13.41929742252001,1.5935430875756078e-06
16,vendor_reliability,5.3498465686548045,0.004802037628572071
17,budget_per_person,4.4655359748571835,0.0115880986910576
18,budget_utilization,3.084217527042404,0.045935663405934656
19,change_request_frequency,2.068777848585451,0.12655093076574098
20,technical_debt,1.3955448433540494,0.24788612267319474
21,schedule_pressure,0.8007889507433199,0.4490868624886825
22,timeline_pressure,0.6283181829819445,0.533570398254349
